"updatedJordanLakeInflow","durhamInflow","updatedOWASAInflow","updatedFallsLakeInflow","updatedLakeWBInflow","updatedLittleRiverRaleighInflow","crabtreeCreekInflow","updatedLillingtonInflow","claytonGageInflow"
8.71562919800498,6.71047938052489,1.44130856258627,7.52892285766346,5.55872769653437,5.34528604757667,6.17503315049215,8.77298297554699,6.70172338694604
8.78073087787271,6.78477602127159,1.5505854336579,7.70188997029763,5.55756988091281,5.47983459388556,6.39118830306428,8.87479025190521,6.85061402638584
9.00904809459732,7.02138066964016,1.83465756542076,7.96794060471058,5.79086424989906,5.66090043877251,6.48649523868602,8.98880709866342,7.0756754099243
9.10090519614607,7.04599940220621,1.91498418887818,8.01017696786674,5.82745667067505,5.83509501551749,6.59437013130537,9.12846842948267,7.30189492042149
9.02833180674981,7.03588032345078,1.88240029620621,8.03207142114742,5.98302460571013,5.75510453828941,6.52112053135601,9.13651385114373,7.24119381618925
8.88155283051522,6.91239923546723,1.763409298704,7.86257285977324,5.7760391709304,5.69643657365198,6.52496239943926,9.02105980764675,7.09507453716902
9.06373048223268,7.28332450351561,2.16452721637807,8.18362253789385,5.97686070259291,5.69068567867361,6.47703181236589,9.1356398090378,6.35041784134617
8.93249223763327,6.91141596760672,1.75399495342872,7.87769273259541,5.84046573993676,5.67487143469259,6.50369519549069,9.17603675912497,6.39928021743528
9.09580876560273,7.30885966037477,2.19759770571536,8.29993633023154,6.05047277111021,5.77675724976018,6.48477496925654,9.30159102549371,6.49610907095904
9.24366855183328,7.14633035490184,1.95019302011397,8.10144549139541,5.91308863012821,5.96815964380887,6.65901330772253,9.4407865490955,7.38383365466696
9.08634986358126,7.25386864222155,2.12602995740021,8.27467886033793,6.07986967822714,5.76228239591328,6.47478611847608,9.22436889728421,7.25631201242127
9.21039077178111,7.41288472626396,2.18052938036056,8.34401863623745,6.02119549290982,5.86286288675252,6.67294403544459,9.30033691986208,7.27249690193487
9.10082463751947,7.30755032433325,2.11428886817183,8.29865335660463,6.0088759177592,5.75248250034056,6.48148911070343,9.16983157330235,7.27072220720487
